time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
23.000 2401 0.250 0.226 2401 0.108 0.108 2401 0.067 0.067 2401 0.058 0.049 2401 0.250 0.226 2401 0.108 0.108 2401 0.067 0.067 2401 0.058 0.049 2401 0.967 0.250 0.898 0.250
23.250 2200 0.025 0.019 2200 0.053 0.040 2200 0.000 0.000 2200 0.000 0.000 2200 0.025 0.019 2200 0.053 0.040 2200 0.000 0.000 2200 0.000 0.000 2200 0.157 0.053 0.119 0.053
23.500 1900 0.233 0.201 1900 0.083 0.064 1900 0.217 0.180 1900 0.175 0.157 1900 0.233 0.201 1900 0.083 0.064 1900 0.217 0.180 1900 0.175 0.157 1900 1.417 0.233 1.202 0.233
23.750 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 0.000 0.000
24.000 2200 0.058 0.043 2200 0.033 0.024 2200 0.067 0.047 2200 0.025 0.018 2200 0.058 0.043 2200 0.033 0.024 2200 0.067 0.047 2200 0.025 0.018 2200 0.367 0.067 0.263 0.067
24.250 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.033 0.026 1900 0.267 0.033 0.206 0.033
24.500 1700 0.033 0.033 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.033 0.033 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.067 0.033 0.067 0.033
24.750 2401 0.458 0.410 2401 0.195 0.185 2401 0.210 0.176 2401 0.067 0.047 2401 0.458 0.410 2401 0.195 0.185 2401 0.210 0.176 2401 0.067 0.047 2401 1.860 0.458 1.636 0.458
25.000 2401 0.175 0.124 2401 0.025 0.018 2401 0.150 0.106 2401 0.258 0.183 2401 0.175 0.124 2401 0.025 0.018 2401 0.150 0.106 2401 0.258 0.183 2401 1.217 0.258 0.861 0.258
25.250 2200 0.092 0.065 2200 0.033 0.024 2200 0.058 0.041 2200 0.020 0.014 2200 0.092 0.065 2200 0.033 0.024 2200 0.058 0.041 2200 0.020 0.014 2200 0.407 0.092 0.288 0.092
25.500 1900 0.033 0.026 1900 0.120 0.101 1900 0.125 0.105 1900 0.200 0.163 1900 0.033 0.026 1900 0.120 0.101 1900 0.125 0.105 1900 0.200 0.163 1900 0.957 0.200 0.788 0.200
25.750 2401 0.033 0.030 2401 0.033 0.030 2401 0.200 0.179 2401 0.000 0.000 2401 0.033 0.030 2401 0.033 0.030 2401 0.200 0.179 2401 0.000 0.000 2401 0.533 0.200 0.477 0.200
