time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
1.250 768 0.000 0.880 768 0.333 0.738 768 0.000 0.000 768 0.667 1.618 768 0.000 0.880 768 0.333 0.738 768 0.000 0.000 768 0.667 1.618 768 2.000 0.667 6.472 1.618
1.275 768 0.000 0.000 768 0.667 1.476 768 0.250 0.553 768 0.000 0.618 768 0.000 0.000 768 0.667 1.476 768 0.250 0.553 768 0.000 0.618 768 1.833 0.667 5.294 1.476
1.300 768 0.667 1.476 768 0.000 0.476 768 0.333 0.738 768 0.000 0.000 768 0.667 1.476 768 0.000 0.476 768 0.333 0.738 768 0.000 0.000 768 2.000 0.667 5.378 1.476
1.325 768 0.000 0.476 768 0.000 0.000 768 0.000 0.000 768 1.000 2.214 768 0.000 0.476 768 0.000 0.000 768 0.000 0.000 768 1.000 2.214 768 2.000 1.000 5.378 2.214
1.350 768 0.000 0.000 768 0.500 1.107 768 0.500 1.107 768 0.333 1.951 768 0.000 0.000 768 0.500 1.107 768 0.500 1.107 768 0.333 1.951 768 2.667 0.500 8.330 1.951
1.375 768 0.333 0.738 768 0.000 0.142 768 0.333 0.880 768 0.000 0.951 768 0.333 0.738 768 0.000 0.142 768 0.333 0.880 768 0.000 0.951 768 1.333 0.333 5.424 0.951
1.400 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.425 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.450 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.475 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.500 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.525 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.550 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.575 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.600 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.667 0.333 1.476 0.738
1.625 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
